Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",CP_Radial_D8.0mm_P3.50mm,3,2000m,
J1,MillMax4650,1,VDD,
J2,MillMax4650,1,GND,
M1,PPN13,1,Motor_DC,
