Designator,Mid X,Mid Y,Rotation,Layer
C1,157.7594,-82.861651,270.0,top
C2,166.3192,-83.056349,90.0,top
C3,162.151949,-75.5396,180.0,top
J1,153.052,-80.137,0.0,top
J2,171.052,-80.137,0.0,top
M1,162.052,-80.137,180.0,top
